                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.56286,                0.44665,                0.99334,                0.82016,                0.60574,                0.82992,                0.72712,                0.53174,                 0.9223,                 1.0474,              0.0012706,              0.0012706,              0.0012706
                     59,                0.59478,                0.47393,                 1.0103,                0.85059,                 0.9453,                0.97532,                 0.8492,                0.50765,                0.54201,                 1.0114,              0.0012677,              0.0012677,              0.0012677
                     60,                0.63095,                0.53886,                 1.0674,                0.89376,                0.75569,                0.88756,                 0.7697,                0.51067,                0.70971,                 1.0124,              0.0012649,              0.0012649,              0.0012649
                     61,                0.61633,                0.47973,                 1.0195,                0.72581,                0.70284,                 0.8217,                0.71235,                0.54894,                  1.055,                 1.0564,              0.0012621,              0.0012621,              0.0012621
                     62,                0.62256,                0.50809,                 1.0712,                0.80688,                0.80391,                0.81324,                0.71963,                0.51684,                0.73566,                 1.0202,              0.0012592,              0.0012592,              0.0012592
                     63,                0.58129,                0.48228,                 1.0285,                0.91925,                0.87397,                0.86955,                0.77214,                0.48376,                 0.6121,                0.98408,              0.0012564,              0.0012564,              0.0012564
                     64,                0.63701,                 0.4821,                 1.0378,                 0.9099,                  0.875,                 0.8668,                0.75717,                0.55842,                0.60513,                 1.0668,              0.0012536,              0.0012536,              0.0012536
                     65,                0.61869,                0.49249,                 1.0668,                0.93747,                  0.875,                0.86791,                0.76215,                0.51962,                0.53212,                 1.0167,              0.0012507,              0.0012507,              0.0012507
                     66,                0.56628,                0.46059,                 1.0055,                0.94582,                  0.875,                0.88965,                0.78325,                0.53015,                 0.5094,                 1.0257,              0.0012479,              0.0012479,              0.0012479
                     67,                0.58847,                0.44129,                 1.0151,                0.90835,                  0.875,                0.90482,                0.79387,                0.53896,                0.53495,                  1.035,              0.0012451,              0.0012451,              0.0012451
