                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                0.52009,                0.42782,                0.98215,                0.84264,                0.92726,                0.91105,                0.82559,                 0.4267,                0.31287,                0.95166,             0.00072362,             0.00072362,             0.00072362
                    106,                0.51603,                0.39805,                0.96669,                0.84552,                0.86667,                0.94517,                0.83827,                0.44979,                0.31011,                 0.9662,             0.00072182,             0.00072182,             0.00072182
                    107,                 0.5257,                0.43264,                0.97794,                0.79499,                0.91247,                0.94899,                0.82807,                0.48109,                 0.3461,                0.99486,             0.00072002,             0.00072002,             0.00072002
                    108,                0.51471,                0.42331,                0.97645,                0.78994,                0.90309,                0.95459,                0.84095,                0.52964,                0.36993,                 1.0496,             0.00071822,             0.00071822,             0.00071822
                    109,                0.50003,                0.41772,                0.97361,                0.90006,                0.88371,                0.98348,                0.87915,                0.46596,                0.32199,                0.97866,             0.00071642,             0.00071642,             0.00071642
                    110,                0.49076,                0.40048,                 0.9835,                 0.9152,                0.93169,                0.98506,                0.86971,                0.44514,                0.30364,                0.96389,             0.00071462,             0.00071462,             0.00071462
                    111,                0.46896,                0.37074,                0.95641,                0.93922,                0.94305,                0.99167,                0.87738,                0.45836,                0.29989,                0.98036,             0.00071282,             0.00071282,             0.00071282
                    112,                0.50994,                0.39053,                0.96151,                 0.9156,                0.85711,                0.98982,                0.87426,                0.46089,                0.47959,                0.98139,             0.00071102,             0.00071102,             0.00071102
                    113,                0.47952,                 0.3824,                0.96498,                 0.9092,                0.87596,                0.97306,                0.87455,                0.44575,                 0.4228,                0.97022,             0.00070922,             0.00070922,             0.00070922
                    114,                0.47805,                0.41478,                0.96103,                0.94206,                0.89626,                0.97563,                0.85956,                0.45147,                0.34795,                0.97012,             0.00070742,             0.00070742,             0.00070742
                    115,                0.47156,                0.37375,                0.96321,                0.81323,                0.99275,                0.95229,                  0.842,                0.42668,                0.33336,                0.94463,             0.00070562,             0.00070562,             0.00070562
                    116,                0.48313,                0.40607,                0.96828,                0.84978,                 0.9417,                0.97057,                0.85585,                0.48074,                0.57951,                0.98344,             0.00070382,             0.00070382,             0.00070382
                    117,                0.47966,                0.38035,                 0.9305,                0.87651,                0.94974,                0.97874,                0.85999,                0.49044,                0.47128,                0.98214,             0.00070202,             0.00070202,             0.00070202
                    118,                0.50275,                0.42764,                0.96714,                0.95106,                 0.9464,                0.98695,                 0.8532,                0.51148,                 0.3088,                0.99935,             0.00070022,             0.00070022,             0.00070022
                    119,                0.49953,                0.39924,                0.98458,                0.95545,                 0.9537,                0.99009,                0.85403,                0.46443,                0.27629,                0.96864,             0.00069842,             0.00069842,             0.00069842
                    120,                0.48864,                0.39256,                0.96842,                0.98182,                0.94136,                0.99452,                0.89902,                0.41797,                0.26752,                0.94537,             0.00069662,             0.00069662,             0.00069662
                    121,                0.47706,                0.41519,                0.97763,                0.96508,                0.97376,                  0.995,                  0.884,                 0.4674,                0.26604,                0.98678,             0.00069482,             0.00069482,             0.00069482
                    122,                0.49838,                0.37197,                0.97113,                0.96133,                0.99148,                  0.995,                0.87093,                0.51814,                0.27651,                 1.0244,             0.00069302,             0.00069302,             0.00069302
                    123,                0.48478,                0.39211,                0.98149,                0.94876,                0.95114,                0.99409,                0.86211,                0.47977,                0.31978,                0.99231,             0.00069122,             0.00069122,             0.00069122
                    124,                0.50436,                0.36587,                0.95804,                0.91781,                0.94459,                0.99452,                0.89774,                0.43584,                0.36491,                0.95677,             0.00068942,             0.00068942,             0.00068942
                    125,                0.49205,                0.40982,                0.96336,                0.97442,                0.94646,                  0.995,                0.88019,                 0.4324,                0.32458,                0.94647,             0.00068762,             0.00068762,             0.00068762
